38.8052192,-9.3265308
38.8051061,-9.3260883
38.8049987,-9.3253817
38.8049568,-9.3250525
38.8049386,-9.3246159
38.804864,-9.3240111
38.8048859,-9.3291761
38.8051481,-9.3279187
38.8052662,-9.3273734
38.8054172,-9.3266764
38.8065069,-9.3275644
38.8060178,-9.3265827
38.8052192,-9.3265308
38.8050687,-9.3264226
38.8048453,-9.3261107
38.8045651,-9.325631
38.8043685,-9.3250116
38.8042398,-9.3248208
38.8039536,-9.3243965
38.8037934,-9.3242531
38.8037868,-9.3241794
38.8037265,-9.3235098
38.8036886,-9.3233007
38.8036408,-9.3231546
38.8027417,-9.3217016
38.802611,-9.3215574
38.807343,-9.3272694
38.8070161,-9.3268483
38.8067452,-9.3271514
38.8061265,-9.3255742
38.8057751,-9.3257609
38.8053721,-9.3259976
38.8051061,-9.3260883
38.8049987,-9.3253817
38.8058544,-9.3250734
38.8059802,-9.3250378
38.8070161,-9.3268483
38.8065487,-9.3261804
38.8061265,-9.3255742
38.8062575,-9.328095
38.806996,-9.3276932
38.807343,-9.3272694
38.8052386,-9.3238783
38.8058544,-9.3250734
38.8049478,-9.3279989
38.8040709,-9.3278452
38.8059802,-9.3250378
38.8061265,-9.3255742
38.8056499,-9.3237396
38.8061516,-9.3245711
38.8059802,-9.3250378
38.8062575,-9.328095
38.8060491,-9.3281144
38.8058593,-9.3281118
38.8056466,-9.3280797
38.8051481,-9.3279187
38.8055997,-9.3268971
38.8060178,-9.3265827
38.8065487,-9.3261804
38.804864,-9.3240111
38.8052386,-9.3238783
38.8072594,-9.3259981
38.8078028,-9.3267008
38.8121152,-9.3243175
38.8120766,-9.3243554
38.8118812,-9.3245471
38.8112667,-9.3249177
38.8110014,-9.3250534
38.8108652,-9.325172
38.8106075,-9.3257181
38.8095153,-9.3278176
38.8091879,-9.3282687
38.808845,-9.3286669
38.8087872,-9.3287126
38.8082552,-9.3291334
38.8079186,-9.3293766
38.8077871,-9.329489
38.8077612,-9.3295239
38.8083463,-9.3259981
38.8077155,-9.32532
38.8082167,-9.3246302
38.8088042,-9.3252917
38.8039536,-9.3243965
38.8042955,-9.3236699
38.8047629,-9.3236705
38.8072594,-9.3259981
38.8065571,-9.325231
38.8061265,-9.3255742
